Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
69,25,1254.89,98.03,582.26,7.81,46.40,254.75,nan,nan,nan,10.23,30.07
6,19,2372.81,72.89,523.35,3.07,22.06,189.58,nan,nan,nan,10.84,42.87
52,18,856.01,102.34,501.94,11.96,58.64,265.91,nan,nan,nan,27.24,64.99
9,2,884.91,84.74,459.46,9.58,51.92,220.29,nan,nan,nan,1.74,nan
37,15,762.84,76.41,442.34,10.02,57.99,198.70,nan,nan,nan,11.55,22.30
51,15,519.85,96.52,440.17,18.57,84.67,250.83,nan,nan,nan,29.86,70.18
68,16,516.99,68.25,391.39,13.20,75.71,177.55,nan,nan,nan,15.10,48.44
59,18,684.10,51.43,310.25,7.52,45.35,133.96,nan,nan,nan,29.15,61.62
26,2,226.11,84.74,226.11,37.48,100.00,220.29,nan,nan,nan,2.00,nan
67,8,215.66,41.23,189.41,19.12,87.83,107.51,nan,nan,nan,10.35,42.06
13,7,722.26,25.25,179.54,3.50,24.86,66.10,nan,nan,nan,16.98,58.32
80,7,806.08,33.17,164.50,4.11,20.41,86.62,nan,nan,nan,12.37,34.59
63,6,186.47,24.26,143.05,13.01,76.72,63.53,nan,nan,nan,14.88,25.52
66,7,165.92,26.23,140.98,15.81,84.97,68.63,nan,nan,nan,25.61,69.32
18,10,1450.24,15.93,132.94,1.10,9.17,41.93,nan,nan,nan,9.39,41.21
14,2,344.09,31.40,127.08,9.13,36.93,82.04,nan,nan,nan,6.92,15.43
64,1,188.79,32.39,111.46,17.16,59.04,84.60,nan,nan,nan,3.01,3.15
40,5,474.49,20.23,109.97,4.26,23.18,53.09,nan,nan,nan,10.64,38.95
38,5,331.40,20.23,109.97,6.11,33.18,53.09,nan,nan,nan,11.84,38.33
81,4,190.62,26.26,97.62,13.78,51.21,68.72,nan,nan,nan,6.15,12.11
34,1,226.33,22.32,55.24,9.86,24.41,58.50,nan,nan,nan,1.48,4.25
35,1,115.53,22.32,55.24,19.32,47.81,58.50,nan,nan,nan,1.44,6.13
