Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
43,15,14044.49,6532.01,9879.66,46.51,70.35,16932.01,nan,nan,nan,1.11,nan
42,1,8083.23,6495.49,8083.22,80.36,100.00,16837.33,nan,nan,nan,0.36,nan
31,24,39569.51,875.89,3690.36,2.21,9.33,2271.00,nan,nan,nan,1.08,2.01
33,22,25501.65,564.31,3142.70,2.21,12.32,1463.37,nan,nan,nan,1.19,1.96
50,18,21769.98,619.68,2747.82,2.85,12.62,1606.89,nan,nan,nan,0.52,0.02
53,11,9657.28,595.05,2576.77,6.16,26.68,1543.05,nan,nan,nan,0.80,0.14
7,18,6452.45,156.20,1054.93,2.42,16.35,405.52,nan,nan,nan,1.49,nan
73,22,24732.41,152.84,1028.13,0.62,4.16,396.81,nan,nan,nan,0.47,1.87
47,4,7832.18,182.00,1008.93,2.32,12.88,472.40,nan,nan,nan,0.60,nan
49,3,8564.28,283.39,957.74,3.31,11.18,735.22,nan,nan,nan,0.12,nan
8,16,6493.81,147.45,676.69,2.27,10.42,382.84,nan,nan,nan,2.36,nan
35,11,7121.90,103.63,645.06,1.46,9.06,269.27,512.68,46.45,58.06,1.35,3.87
13,6,12186.34,429.49,619.26,3.52,5.08,1113.91,nan,nan,nan,0.53,nan
28,22,7316.11,89.94,581.06,1.23,7.94,233.77,nan,nan,nan,2.98,20.31
54,2,12359.51,311.58,547.66,2.52,4.43,808.27,nan,nan,nan,0.69,1.52
69,7,5387.63,183.10,497.69,3.40,9.24,475.24,nan,nan,nan,0.64,4.01
12,10,16660.35,116.24,494.06,0.70,2.97,301.94,nan,nan,nan,0.64,nan
2,12,23016.70,67.87,465.24,0.29,2.02,176.57,nan,nan,nan,1.48,nan
67,20,7206.85,96.26,449.74,1.34,6.24,250.16,24856.42,1551.04,2359.31,1.56,7.55
46,4,6745.58,146.50,446.91,2.17,6.63,380.38,nan,nan,nan,0.36,nan
60,14,16482.45,57.61,444.28,0.35,2.70,149.96,nan,nan,nan,1.05,5.86
61,20,6067.23,57.28,421.82,0.94,6.95,149.12,nan,nan,nan,28.44,76.14
44,15,15905.59,56.09,288.55,0.35,1.81,146.03,nan,nan,nan,0.85,nan
27,9,10289.06,60.86,260.48,0.59,2.53,158.39,nan,nan,nan,1.24,0.83
10,2,8099.98,66.63,254.92,0.82,3.15,173.35,nan,nan,nan,0.83,nan
16,6,6445.58,24.60,185.53,0.38,2.88,64.40,nan,nan,nan,2.64,nan
