Microwshed_ID,Area_Acres,Pond_Count,Total_Pond_Area_Acres,Average_Pond_Area_Acres,Pond Area /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
175,476.90,5,38.74,7.75,8.12,101.06,3882.82,549.63,18.49,75.34
119,615.71,11,31.75,2.89,5.16,82.94,5250.48,758.54,10.54,80.83
178,573.48,9,22.25,2.47,3.88,58.31,4517.01,637.00,18.96,78.44
81,124.89,2,21.58,10.79,17.28,56.57,983.69,138.73,14.88,49.06
105,179.98,9,19.26,2.14,10.70,50.58,1350.70,194.48,18.83,81.13
117,72.65,5,19.14,3.83,26.34,50.25,584.71,83.54,8.01,45.09
83,490.71,8,17.50,2.19,3.57,46.00,4423.95,638.94,28.09,72.84
42,256.22,1,17.13,17.13,6.69,45.05,1778.13,256.37,15.20,6.09
65,94.19,1,17.13,17.13,18.19,45.05,758.86,109.27,5.94,15.83
88,291.29,4,15.35,3.84,5.27,40.42,2581.90,399.35,18.57,64.73
