Microwshed_ID,Area_Acres,Pond_Count,Total_Pond_Area_Acres,Average_Pond_Area_Acres,Pond Area /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
31,1489.72,24,114.52,4.77,7.69,297.48,10026.90,1449.93,11.78,41.30
38,750.88,14,63.63,4.55,8.47,165.58,4620.62,683.81,20.33,62.27
13,1964.20,23,59.61,2.59,3.03,155.15,3325.23,443.73,12.22,31.65
70,508.73,6,46.05,7.67,9.05,120.01,3493.02,512.66,15.44,23.01
73,197.59,6,31.77,5.30,16.08,83.01,1355.45,202.27,20.05,76.23
79,353.56,8,30.33,3.79,8.58,79.27,1525.46,219.92,20.50,27.83
19,465.98,11,29.87,2.72,6.41,78.07,2868.16,390.63,15.55,77.55
57,179.60,4,23.99,6.00,13.36,62.83,1188.41,163.29,13.47,49.30
68,175.38,3,22.77,7.59,12.99,59.67,1108.55,160.90,13.76,60.66
9,744.12,9,22.35,2.48,3.00,58.58,5699.87,819.08,24.62,80.28
72,58.73,4,21.37,5.34,36.38,56.03,249.67,34.92,15.66,51.25
22,421.34,8,18.39,2.30,4.37,48.32,3001.11,416.29,9.82,76.47
30,253.99,6,15.57,2.59,6.13,41.00,1869.75,261.71,13.86,81.71
