Microwatershed_ID,Area_Acres,Order,Pond_Count,Total_Pond_Area_Acres,Average_Pond_Area_Acres,Pond_Area_Ratio,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr)
175,664.08,2,16,85.62,5.35,12.89,222.57,4270.59
130,496.46,2,9,66.20,7.36,13.33,172.24,3104.94
133,262.41,2,6,47.01,7.83,17.91,122.50,1729.35
135,138.28,1,4,42.82,10.71,30.97,111.64,980.87
121,549.40,2,12,37.44,3.12,6.82,97.70,4024.64
95,1289.40,2,14,33.15,2.37,2.57,86.57,2425.84
134,63.62,1,3,33.12,11.04,52.06,86.49,386.51
150,140.48,1,5,32.93,6.59,23.44,86.01,707.95
132,54.89,1,1,28.93,28.93,52.71,75.64,328.39
128,117.94,1,4,27.99,7.00,23.73,73.20,718.14
102,401.12,2,9,21.89,2.43,5.46,57.38,2644.40
173,65.56,1,2,16.07,8.04,24.51,42.30,452.76
116,334.07,2,6,15.74,2.62,4.71,41.45,2286.03
131,189.12,1,4,13.13,3.28,6.94,34.68,1403.57
125,161.38,1,3,12.50,4.17,7.74,33.04,1174.16
126,147.66,1,3,12.42,4.14,8.41,32.83,930.18
148,175.78,1,5,11.63,2.33,6.62,30.80,984.31
107,63.96,1,5,11.49,2.30,17.97,30.43,189.19
120,232.36,1,5,10.90,2.18,4.69,28.90,1661.90
172,75.47,1,2,10.82,5.41,14.34,28.70,520.77
127,130.56,1,4,10.61,2.65,8.13,28.15,949.50
117,176.70,1,3,10.16,3.39,5.75,26.99,1206.84
122,57.51,1,3,10.07,3.36,17.51,26.75,329.26
