Microwatershed_ID,Area_Acres,Pond_Count,Total_Pond_Area_Acres,Average_Pond_Area_Acres,Pond_Area_Ratio,Total_Nitrogen_(Lb/Yr)
137,2021.65,20,98.27,4.91,4.86,7144.19
175,664.08,16,85.62,5.35,12.89,4270.07
130,496.46,9,66.20,7.36,13.33,3104.81
133,262.41,6,47.01,7.83,17.91,1729.53
135,138.28,4,42.82,10.71,30.97,981.02
103,959.82,17,40.24,2.37,4.19,6791.86
121,549.40,12,37.44,3.12,6.82,4024.70
95,1289.40,14,33.15,2.37,2.57,2425.85
134,63.62,3,33.12,11.04,52.06,386.55
150,140.48,5,32.93,6.59,23.44,707.65
132,54.89,1,28.93,28.93,52.71,328.38
128,117.94,4,27.99,7.00,23.73,718.09
102,401.12,9,21.89,2.43,5.46,2643.59
173,65.56,2,16.07,8.04,24.51,452.66
116,334.07,6,15.74,2.62,4.71,2286.06
