Microwatershed_ID,Area_Acres,Order,Pond_Count,Total_Pond_Area_Acres,Average_Pond_Area_Acres,Pond_Area_Ratio,Total_Nitrogen_(Lb/Yr)
137,2021.65,3,20,98.27,4.91,4.86,7143.98
175,664.08,2,16,85.62,5.35,12.89,4270.59
130,496.46,2,9,66.20,7.36,13.33,3104.94
133,262.41,2,6,47.01,7.83,17.91,1729.35
135,138.28,1,4,42.82,10.71,30.97,980.87
103,959.82,3,17,40.24,2.37,4.19,6792.43
121,549.40,2,12,37.44,3.12,6.82,4024.64
95,1289.40,2,14,33.15,2.37,2.57,2425.84
134,63.62,1,3,33.12,11.04,52.06,386.51
150,140.48,1,5,32.93,6.59,23.44,707.95
132,54.89,1,1,28.93,28.93,52.71,328.39
128,117.94,1,4,27.99,7.00,23.73,718.14
102,401.12,2,9,21.89,2.43,5.46,2644.40
173,65.56,1,2,16.07,8.04,24.51,452.76
116,334.07,2,6,15.74,2.62,4.71,2286.03
