Microwshed_ID,Area_Acres,Pond_Count,Total_Pond_Area_Acres,Average_Pond_Area_Acres,Pond Area /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
1031,65.68,2,36.80,18.40,56.02,96.03,488.79,70.44,17.73,57.58
1019,63.62,3,33.12,11.04,52.06,86.49,386.51,57.18,9.55,34.51
1015,54.89,1,28.93,28.93,52.71,75.64,328.39,48.81,6.70,40.62
893,10.14,1,28.93,28.93,285.32,75.64,60.59,9.01,21.66,79.27
895,16.12,1,28.93,28.93,179.49,75.64,96.53,14.34,3.26,25.37
1094,11.66,1,21.47,21.47,184.10,56.28,72.91,10.16,25.64,99.88
1086,39.65,3,21.43,7.14,54.04,56.18,238.23,33.52,5.30,24.19
1080,27.89,2,20.12,10.06,72.13,52.78,148.75,20.51,4.76,28.77
1013,33.02,2,17.63,8.82,53.41,46.35,178.49,23.77,8.98,64.03
889,29.37,2,16.16,8.08,55.02,42.53,185.82,26.96,10.60,60.76
880,16.96,2,16.16,8.08,95.31,42.53,107.26,15.56,10.52,47.98
1059,65.56,2,16.07,8.04,24.51,42.30,452.76,67.73,11.99,76.42
1057,8.91,2,16.07,8.04,180.39,42.30,61.35,9.17,24.12,85.77
1014,76.05,2,15.01,7.51,19.74,39.56,353.78,45.25,10.79,42.93
1054,52.08,1,15.00,15.00,28.80,39.52,359.93,53.86,10.71,74.27
1030,42.13,3,13.89,4.63,32.97,36.65,307.82,44.39,4.64,28.85
1066,17.57,2,13.13,6.57,74.72,34.68,121.09,18.09,15.66,36.62
898,189.12,4,13.13,3.28,6.94,34.68,1403.57,198.51,21.20,83.49
824,161.38,3,12.50,4.17,7.74,33.04,1174.16,160.47,13.01,68.71
876,147.66,3,12.42,4.14,8.41,32.83,930.18,120.59,2.44,14.79
614,63.96,5,11.49,2.30,17.97,30.43,189.19,26.77,19.66,74.87
1090,12.84,1,11.24,11.24,87.53,29.77,69.28,9.22,3.62,22.12
1093,21.55,1,11.24,11.24,52.15,29.77,117.76,15.77,3.29,14.32
808,232.36,5,10.90,2.18,4.69,28.90,1661.90,218.70,8.52,57.61
1050,24.71,2,10.82,5.41,43.79,28.70,170.61,25.50,15.60,81.08
1063,75.47,2,10.82,5.41,14.34,28.70,520.77,77.82,22.94,83.68
905,20.30,1,10.80,10.80,53.20,28.63,128.50,18.64,10.28,95.18
