Microwshed_ID,Pond_Count,Area_Acres,Average_Pond_Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pondshed_to_Pond_Ratio,Pond Area /_MWS Area_Percentage,Pondshed Area /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
175,16,664.08,5.35,85.62,488.21,5.70,12.89,73.52,222.57,4270.59,620.02,31.24,66.97
130,9,496.46,7.36,66.20,262.63,3.97,13.33,52.90,172.24,3104.94,433.29,20.33,42.43
133,6,262.41,7.83,47.01,203.25,4.32,17.91,77.46,122.50,1729.35,253.12,21.26,39.39
135,4,138.28,10.71,42.82,92.06,2.15,30.97,66.57,111.64,980.87,142.14,21.89,42.74
121,12,549.40,3.12,37.44,229.64,6.13,6.82,41.80,97.70,4024.64,557.60,33.30,76.92
95,14,1289.40,2.37,33.15,250.70,7.56,2.57,19.44,86.57,2425.84,322.85,23.65,24.01
134,3,63.62,11.04,33.12,50.87,1.54,52.06,79.96,86.49,386.51,57.18,23.01,34.51
150,5,140.48,6.59,32.93,111.85,3.40,23.44,79.62,86.01,707.95,92.86,22.74,45.73
132,1,54.89,28.93,28.93,54.71,1.89,52.71,99.66,75.64,328.39,48.81,19.83,40.62
128,4,117.94,7.00,27.99,83.96,3.00,23.73,71.19,73.20,718.14,101.19,21.58,25.95
102,9,401.12,2.43,21.89,152.42,6.96,5.46,38.00,57.38,2644.40,379.47,38.84,81.76
173,2,65.56,8.04,16.07,61.48,3.83,24.51,93.78,42.30,452.76,67.73,30.84,76.42
116,6,334.07,2.62,15.74,104.79,6.66,4.71,31.37,41.45,2286.03,314.38,34.74,79.74
