Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
175,16,664.08,85.62,521.94,12.89,78.59,222.57,4270.59,620.02,31.24,66.97
130,9,496.46,66.20,463.11,13.33,93.28,172.24,3104.94,433.29,20.33,42.43
133,6,262.41,47.01,293.56,17.91,111.87,122.50,1729.35,253.12,21.26,39.39
135,4,138.28,42.82,280.35,30.97,202.74,111.64,980.87,142.14,21.89,42.74
121,12,549.40,37.44,261.89,6.82,47.67,97.70,4024.64,557.60,33.30,76.92
95,14,1289.40,33.15,244.58,2.57,18.97,86.57,2425.84,322.85,23.65,24.01
134,3,63.62,33.12,243.00,52.06,381.94,86.49,386.51,57.18,23.01,34.51
150,5,140.48,32.93,212.10,23.44,150.98,86.01,707.95,92.86,22.74,45.73
132,1,54.89,28.93,225.29,52.71,410.42,75.64,328.39,48.81,19.83,40.62
128,4,117.94,27.99,191.64,23.73,162.49,73.20,718.14,101.19,21.58,25.95
102,9,401.12,21.89,159.87,5.46,39.85,57.38,2644.40,379.47,38.84,81.76
173,2,65.56,16.07,111.62,24.51,170.25,42.30,452.76,67.73,30.84,76.42
116,6,334.07,15.74,124.08,4.71,37.14,41.45,2286.03,314.38,34.74,79.74
