Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
117,6,262.41,47.01,199.70,17.91,76.10,122.50,1729.35,1316.03,253.12,21.26,39.39
20,9,326.32,21.89,143.71,6.71,44.04,57.38,2023.65,891.22,290.13,38.41,77.69
160,5,176.47,28.04,137.17,15.89,77.73,73.32,1202.92,935.03,179.06,36.48,75.19
171,5,140.48,32.93,111.03,23.44,79.04,86.01,707.95,559.56,92.86,22.74,45.73
112,5,281.68,26.28,90.70,9.33,32.20,68.76,1782.48,573.96,243.92,14.41,36.54
96,4,117.94,27.99,83.85,23.73,71.10,73.20,718.14,510.60,101.19,21.58,25.95
150,2,65.56,16.07,56.34,24.51,85.94,42.30,452.76,389.10,67.73,30.84,76.42
115,1,54.89,28.93,53.70,52.71,97.82,75.64,328.39,321.23,48.81,19.83,40.62
164,2,76.05,15.01,50.50,19.74,66.40,39.56,353.78,234.91,45.25,23.21,42.93
116,3,63.62,33.12,48.85,52.06,76.78,86.49,386.51,296.77,57.18,23.01,34.51
163,2,33.02,17.63,31.57,53.41,95.61,46.35,178.49,170.65,23.77,26.46,64.03
173,3,39.65,21.43,29.45,54.04,74.29,56.18,238.23,176.98,33.52,9.26,24.19
97,2,29.37,16.16,29.10,55.02,99.08,42.53,185.82,184.12,26.96,28.53,60.76
168,2,27.89,20.12,25.17,72.13,90.24,52.78,148.75,134.23,20.51,11.94,28.77
