Microwshed_ID,Pond_Count,Area_Acres,Total_Pondshed_Area_Acres,ImperviousAreaAcres,AnnualRainfallInches,AnnualRunoffMGYr,Pond_Controllable_Volume_Ac-Ft,Annual_Volume_Treated_MG/Yr,Annual_Volume_Treated_MG/Yr_PerPond,Percent_Impervious
56,16,664.08,480.88701780435264,207.43,52.45,295.44,222.57,60.91,3.8065964122107867,31.24
35,9,496.46,246.32169673622337,100.93,52.70,144.42,172.24,15.79,1.7544175198093381,20.33
42,12,549.40,225.84090136588875,182.92,52.37,260.15,97.70,91.49,7.624530420655674,33.30
10,14,1289.40,224.6937693422501,304.90,53.10,439.64,86.57,164.03,11.716146118070226,23.65
37,6,262.41,199.70418106078165,55.80,52.70,79.85,122.50,4.53,0.7557669348762057,21.26
9,9,401.12,143.7056390480066,155.78,53.42,225.96,57.38,88.11,9.789452868785384,38.84
57,5,140.48,111.0335726122699,31.95,52.84,45.84,86.01,0.65,0.130392602146876,22.74
30,6,334.07,101.85280298011052,116.05,52.90,166.69,41.45,64.72,10.78723171690911,34.74
49,4,138.28,89.1744313582828,30.27,52.70,43.32,111.64,0.00,0.0,21.89
33,4,117.94,83.84882007329927,25.46,52.70,36.43,73.20,0.02,0.004370348540834697,21.58
54,2,65.56,56.34348018251525,20.22,52.45,28.79,42.30,1.92,0.9616885770515348,30.84
36,1,54.89,53.69583216088276,10.88,52.70,15.58,75.64,0.00,0.0,19.83
38,3,63.62,48.84682118237177,14.64,52.70,20.95,86.49,0.00,0.0,23.01
