Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Annual_Volume_Treated_MG/Yr,Nitrogen_lb,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
56,16,664.08,85.62,480.89,12.89,72.41,222.57,60.91,0.1337,4270.59,3092.34,620.02,31.24,66.97
35,9,496.46,66.20,246.32,13.33,49.62,172.24,15.79,0.0575,3104.94,1540.67,433.29,20.33,42.43
42,12,549.40,37.44,225.84,6.82,41.11,97.70,91.49,0.1022,4024.64,1654.53,557.60,33.30,76.92
10,14,1289.40,33.15,224.69,2.57,17.43,86.57,164.03,0.0902,2425.84,422.82,322.85,23.65,24.01
37,6,262.41,47.01,199.70,17.91,76.10,122.50,4.53,0.0403,1729.35,1316.03,253.12,21.26,39.39
9,9,401.12,21.89,143.71,5.46,35.83,57.38,88.11,0.0866,2644.40,947.49,379.47,38.84,81.76
57,5,140.48,32.93,111.03,23.44,79.04,86.01,0.65,0.0179,707.95,559.56,92.86,22.74,45.73
30,6,334.07,15.74,101.85,4.71,30.49,41.45,64.72,0.0875,2286.03,697.01,314.38,34.74,79.74
49,4,138.28,42.82,89.17,30.97,64.49,111.64,0.00,0.0224,980.87,632.56,142.14,21.89,42.74
33,4,117.94,27.99,83.85,23.73,71.10,73.20,0.02,0.0130,718.14,510.60,101.19,21.58,25.95
54,2,65.56,16.07,56.34,24.51,85.94,42.30,1.92,0.0125,452.76,389.10,67.73,30.84,76.42
36,1,54.89,28.93,53.70,52.71,97.82,75.64,0.00,0.0103,328.39,321.23,48.81,19.83,40.62
38,3,63.62,33.12,48.85,52.06,76.78,86.49,0.00,0.0072,386.51,296.77,57.18,23.01,34.51
