Microwshed_ID,Area_Acres,Pond_Count,Total_Pond_Area_Acres,Average_Pond_Area_Acres,Pond Area /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
100,492.99,5,43.05,8.61,8.73,112.23,2679.15,413.35,1.92,12.80
31,422.74,9,41.34,4.59,9.78,107.79,2727.77,337.21,4.29,23.23
19,1307.56,8,33.50,4.19,2.56,87.49,10124.25,1284.06,7.97,23.39
102,134.95,3,29.13,9.71,21.59,76.15,676.75,93.10,0.02,0.87
81,407.60,3,28.32,9.44,6.95,74.06,2462.79,310.52,7.35,35.23
23,100.13,3,25.03,8.34,24.99,65.52,787.61,101.74,12.46,30.70
24,842.26,4,23.23,5.81,2.76,60.85,5896.91,726.03,4.39,27.50
59,73.60,1,22.57,22.57,30.66,59.14,753.29,100.02,35.57,88.30
78,68.65,1,21.72,21.72,31.64,56.94,381.63,46.18,11.51,63.29
10,131.87,2,20.51,10.25,15.55,53.80,749.40,72.96,5.25,20.80
111,66.70,1,19.57,19.57,29.33,51.36,259.18,27.74,0.02,nan
112,451.34,1,19.57,19.57,4.34,51.36,2167.40,267.98,3.58,4.88
28,79.07,4,19.22,4.80,24.30,50.46,454.64,68.19,2.00,20.97
54,66.31,1,16.68,16.68,25.15,43.87,592.47,79.25,23.14,47.74
25,229.81,2,16.25,8.12,7.07,42.76,1513.31,171.13,1.45,9.20
27,204.57,3,15.47,5.16,7.56,40.74,1359.07,156.67,5.52,21.67
14,614.89,3,15.34,5.11,2.49,40.39,3880.81,429.44,5.26,19.85
29,200.52,4,15.18,3.79,7.57,39.99,1408.26,179.79,6.98,32.96
