Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
143,14,2696.22,72.09,364.67,2.67,13.53,187.51,18073.65,2445.36,2417.49,6.47,32.08
106,3,304.95,28.32,134.49,9.29,44.10,74.06,1831.00,807.47,230.05,5.79,30.04
134,6,618.61,25.98,133.65,4.20,21.60,67.99,4655.14,1005.51,608.40,8.08,54.24
48,6,559.46,45.62,132.63,8.15,23.71,118.89,4632.24,1098.30,607.80,10.17,23.41
1,2,180.97,20.51,120.38,11.33,66.52,53.80,1043.77,694.32,105.15,5.90,34.63
150,3,161.36,29.13,108.34,18.05,67.14,76.15,801.47,538.10,110.65,0.02,0.73
56,1,134.45,16.68,77.93,12.40,57.96,43.87,1162.80,673.96,154.37,20.32,50.28
104,1,76.44,21.72,75.09,28.41,98.23,56.94,424.50,416.99,51.25,10.36,55.64
25,2,79.14,16.20,53.70,20.47,67.86,42.63,463.72,314.68,69.37,2.50,20.87
2,1,68.78,19.06,51.11,27.70,74.30,50.04,390.57,290.19,37.96,6.84,23.04
34,1,63.81,21.46,50.92,33.64,79.81,56.28,477.73,381.28,59.70,7.75,45.06
153,3,82.34,29.13,50.20,35.38,60.96,76.15,398.27,242.79,54.13,0.00,nan
3,2,67.89,20.51,48.71,30.21,71.75,53.80,401.63,288.17,42.78,8.80,67.77
22,3,85.11,22.16,45.39,26.04,53.33,58.09,563.76,300.65,64.56,3.00,16.61
36,3,176.45,25.36,27.91,14.37,15.82,66.38,1414.37,223.75,184.38,11.44,46.13
