Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
56,32,4550.35,99.70,636.72,2.19,13.99,259.08,nan,nan,nan,8.08,27.53
89,7,486.22,63.65,219.61,13.09,45.17,165.62,nan,nan,nan,34.13,76.23
1,10,948.97,49.56,208.29,5.22,21.95,129.11,nan,nan,nan,3.79,14.27
96,17,322.77,35.31,187.68,10.94,58.15,92.17,nan,nan,nan,16.24,36.91
37,8,345.11,27.57,164.65,7.99,47.71,72.12,nan,nan,nan,19.27,44.12
125,3,259.11,37.79,153.41,14.59,59.21,98.60,nan,nan,nan,28.59,74.97
50,9,886.77,24.57,145.67,2.77,16.43,64.34,nan,nan,nan,11.98,26.50
2,7,230.27,36.33,140.63,15.78,61.07,94.81,nan,nan,nan,10.29,35.51
54,10,1419.16,26.90,139.81,1.90,9.85,70.38,nan,nan,nan,10.67,43.96
12,6,174.17,39.32,136.11,22.58,78.15,102.56,nan,nan,nan,10.51,23.75
21,12,258.09,23.88,129.35,9.25,50.12,62.54,nan,nan,nan,6.64,61.45
75,11,1028.87,31.41,129.14,3.05,12.55,82.07,nan,nan,nan,26.45,56.13
90,10,535.02,19.31,124.16,3.61,23.21,50.69,nan,nan,nan,31.11,73.50
95,11,201.27,21.31,121.62,10.59,60.43,55.88,nan,nan,nan,14.46,34.82
123,3,198.83,37.79,97.64,19.01,49.11,98.60,nan,nan,nan,30.29,77.03
20,4,153.37,22.87,96.98,14.91,63.23,59.92,nan,nan,nan,25.36,48.07
51,7,312.40,21.20,96.60,6.79,30.92,55.59,nan,nan,nan,17.06,40.81
39,5,156.84,15.00,83.17,9.57,53.03,39.53,nan,nan,nan,30.45,60.30
65,7,101.33,23.72,82.44,23.41,81.36,62.13,nan,nan,nan,12.07,27.62
52,5,382.04,17.19,80.21,4.50,21.00,45.19,nan,nan,nan,13.48,46.46
14,9,142.83,15.61,73.44,10.93,51.42,41.12,nan,nan,nan,3.90,54.79
58,4,154.74,22.51,68.62,14.55,44.34,59.00,nan,nan,nan,4.81,16.16
19,6,88.53,16.36,61.60,18.48,69.58,43.05,nan,nan,nan,25.40,51.54
124,1,53.30,34.41,52.27,64.55,98.06,89.82,nan,nan,nan,24.91,71.93
