Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
60,10,257.12,66.19,200.44,25.74,77.95,172.20,nan,nan,nan,21.30,71.95
88,9,570.91,32.46,153.29,5.69,26.85,84.77,nan,nan,nan,19.74,63.78
62,7,148.25,50.83,143.76,34.28,96.97,132.38,nan,nan,nan,24.24,68.15
28,4,160.84,25.64,126.08,15.94,78.39,67.11,nan,nan,nan,29.55,83.34
24,5,548.35,16.14,112.96,2.94,20.60,42.48,nan,nan,nan,21.60,61.60
76,7,230.40,20.49,105.58,8.89,45.83,53.76,nan,nan,nan,18.60,53.66
52,10,433.28,18.61,100.04,4.29,23.09,48.87,nan,nan,nan,16.93,55.11
17,4,255.79,19.20,82.44,7.50,32.23,50.40,nan,nan,nan,7.76,21.82
39,5,96.21,22.74,80.35,23.64,83.52,59.59,nan,nan,nan,14.46,64.57
19,4,96.81,19.20,78.60,19.83,81.19,50.40,nan,nan,nan,18.07,47.26
22,6,79.28,20.37,74.01,25.69,93.35,53.44,nan,nan,nan,26.70,84.80
44,3,193.95,18.82,73.58,9.70,37.94,49.43,nan,nan,nan,9.97,39.01
27,2,70.34,20.15,70.34,28.65,100.00,52.87,nan,nan,nan,28.10,72.73
61,3,108.66,15.36,52.35,14.14,48.18,40.46,nan,nan,nan,17.33,77.09
36,3,51.42,15.04,41.22,29.25,80.16,39.63,nan,nan,nan,8.37,51.27
